headline,category
Mozart In The Jungle Should Be The Next Show You Binge-Watch,clickbait
Wikinews interviews author and filmmaker John Gaspard,notclickbait
Which Video Game Princess Are You,clickbait
17 Things People Don't Understand About OCD,clickbait
Russian oil depot burning after explosion,notclickbait
Meet The Girl Who Buttchugged Cough Syrup,clickbait
Your Chance to Show What the Super Bowl Logo Should Look Like,notclickbait
Executions Debated as Missouri Plans One,notclickbait
Can You Identify The 2015 Music Video By Its YouTube Comment,clickbait
This Is What Happens When Your Abuela Tries To Speak English,clickbait
Dima Bilan wins the 2008 Eurovision Song Contest for Russia,notclickbait
Have You Had A Real-Life Meet-Cute,clickbait
Which Disney Character Sparked Your Sexual Awakening,clickbait
Can You Name The John Green Book By Just The Cover Art,clickbait
Six H1N1 cases appear in the Philippines,notclickbait
United States Senator Lieberman to speak at Republican party convention,notclickbait
Ad Losses Put Squeeze on TV News,notclickbait
"Rangers Pick Up Where They Left Off, With a Victory",notclickbait
Which Classic Movie Should Your Intro To Film Essay Be About,clickbait
Vatican releases statement on health of Pope,notclickbait
"Meet Dhee, Bangladesh's First Lesbian Comic Book Character",clickbait
HP France in trouble due to alleged monopolist behavior,notclickbait
34 Eye Opening Photos Of The Great Depression,clickbait
"Acquired in J. J. Putz Trade, Sean Green Also Seen as Valuable to Mets",notclickbait
"Football Aside, Tom Brady Takes Some Really Cute Dad Pics",clickbait
Thousands protest privatisation of Australian electricity industry,notclickbait
"Redskins Sign Haynesworth, but They Pay Top Dollar",notclickbait
Jennifer Lawrence's New Movie Is Basically Just A Bunch Of GIFs Of Her In Search Of A Movie,clickbait
Service Warranties and the Cost of Fun,notclickbait
"British seaman appears in court, charged with murder after shooting on nuclear submarine",notclickbait
"Remember When David Bowie Was On ""SpongeBob Squarepants?""",clickbait
"In Gaza, Weighing Crimes and Ethics in Urban Warfare",notclickbait
"Matthew Edwards, honored Michigan police officer, shot and killed",notclickbait
18 Cats Who Don't Believe In Books,clickbait
Sharapova knocked out of Wimbledon 2005 in semi-final,notclickbait
Indonesian parliament approves privatising of three major state firms,notclickbait
14 People Describe The Exact Moment They Realised They're In Love,clickbait
"With Surgery Done, Alex Rodriguez to Begin Rehab Immediately",notclickbait
US East Coast prepares for blizzard,notclickbait
U.S. Scrambles for Information on Iran,notclickbait
180 Hidden Miles of Great Wall of China Found,notclickbait
Japan earthquake shifts Earth's axis 10 centimetres,notclickbait
POLL: Which Female Celebrity Owned 2015,clickbait
"Gordon Brown: Extra troops for Afghanistan, Yemen security the focus for int'l conference",notclickbait
19 Things That Happen When Your Song Comes On In The Club,clickbait
Everybody Hates Mark From Match.com,clickbait
12 Confessions From People Who Struggle With Anxiety,clickbait
Tinder Just Added An STI Testing Locator To Their Website,clickbait
Mubarak summoned by Egyptian prosecutors to face allegations of killings and corruption,notclickbait
France Opens First Military Bases in the Gulf,notclickbait
8 Ways To Use Bi Invisibility To Your Advantage,clickbait
17 Pictures Hot People Will Never Understand,clickbait
Canberrans spend Easter outside: in pictures,notclickbait
21 Signs You're Addicted To Your Goddamn iPhone,clickbait
Take A Look Back At The Biggest Black Friday Toys Of The Past 20 Years,clickbait
US President Barack Obama speaks at memorial for Arizona shooting victims,notclickbait
Knife Attack Kills 3 at Belgian Day Care Center,notclickbait
British jazz musician John Dankworth dies aged 82,notclickbait
Pirates seize cargo ship in Indian Ocean,notclickbait
How ~Deep~ Are You,clickbait
Nine Killed as Tornado Rakes Oklahoma,notclickbait
23 Things You'll Only Relate To If You're Slightly Obsessed With Makeup,clickbait
Latvian government takes majority stake in Parex Bank,notclickbait
65 Things That Make British People Feel Slightly Guilty,clickbait
Indiana businessman held hostage in Iraq,notclickbait
South Africa Bars Dalai Lama From a Peace Conference,notclickbait
23 Annoying Things That Will Happen For The Rest Of Your Life,clickbait
14 Duets That Prove Two Voices Are Better Than One,clickbait
19 Reasons The Nintendo 64 Is The Greatest Console Of All Time,clickbait
Keeping True Identity Online Becomes Battle,notclickbait
U.N. Report Lays Out Options for an Oil-Rich Iraqi Region,notclickbait
"Are You More Harry Or Marv From ""Home Alone?""",clickbait
Major storms batter Europe,notclickbait
19 Cat Reactions For Every Thanksgiving Situation,clickbait
Australian Football League to hold match in China,notclickbait
Country Star Jason Aldean Wore Blackface On Halloween To Dress Up As Lil Wayne,clickbait
"17 ""Home Alone"" Tweets That Will Make You Laugh Out Loud",clickbait
Crisis Reshaping Wall St. as Stars Begin to Scatter,notclickbait
This Is What Someone With Anxiety Actually Hears,clickbait
Only True New Jerseyans Will Ace This Quiz,clickbait
People Are Using The Hashtag #BurritoSelfie And It Is As Glorious As You'd Imagine,clickbait
Canada commits C$127.4 million to fighting tuberculosis,notclickbait
Dick Cheney makes surprise Iraq visit,notclickbait
Who Said It: Taylor Swift Or Dr. Phil,clickbait
Qatar Said to Be Pondering a Stake in Porsche,notclickbait
A New BlackBerry Curve Loaded With Features,notclickbait
"The New Trailer For ""The Secret Life Of Pets"" Is Here And It's Adorable",clickbait
Balancing Freedom and the Role of the State in Germany,notclickbait
"This Cover Of AC/DC's ""Thunderstruck"" On Bagpipes Is Fierce AF",clickbait
Can You Help People Find This Kid So They Can Give Him A Real Messi Shirt,clickbait
What Percent Single Are You,clickbait
Survivors of High-Seas Drama Return to France,notclickbait
We Know Your Favorite Disney Movie Based On Your Favorite Dog,clickbait
A Bunch Of Women Wore Pants To The Emmys And It Was Perfect,clickbait
This Guy Proposed With A Custom Super Mario Brothers-Style Video Game,clickbait
Which Rihanna Album Are You Actually,clickbait
US Senate advances health care reform bill,notclickbait
"Amid Crackdown, Iran Admits Voting Errors",notclickbait
How A Decade Of Sobriety Finally Taught Me To Drink,clickbait
Even Well-off Consumers Aim to be Less Conspicuous,notclickbait
U.S. jury deliberates immigrant smuggler case,notclickbait
Scientists develop 'Smart Bomb' treatment that targets cancer cells,notclickbait
Zeinab Sadiq Jaafar,notclickbait
29 Celebrities In 2006 Compared With Now,clickbait
Science of champagne bubbles explained,notclickbait
9 Things You'll Definitely Lose In 2016,clickbait
Bolivian president announces legal action over Obama's 'crimes against humanity',notclickbait
Refugees From Region in Pakistan Trickling Home,notclickbait
Scientists create micro-battery using 3D printing,notclickbait
24 Hilarious Tweets About Kids That Are Way Too Real For Every Parent,clickbait
"Hospital in Essex, England fined £50,000 after patient dies due to health and safety breaches",notclickbait
Chris Moyles Is Returning To Radio With A Breakfast Show On Radio X,clickbait
William Morris and Endeavor Explore a Merger,notclickbait
Protesters clash with police as Bush visits London,notclickbait
We Know What Movie Makes You Cry,clickbait
17 Ways To Procrastinate At Work Without Getting Caught,clickbait
"This Kid Stopped On His Way To Second Base To Tell His Baseball Coach ""I Love You""",clickbait
"From Blog to Print, Laughing All the Way to the Bank",notclickbait
"Your Self Care Routine Should Include BuzzFeed's ""Another Round"" Podcast",clickbait
High-Tech Device Thumps Course to Test Its Firmness,notclickbait
"Try To Stay Calm '90s Kids, But The ""Full House"" House Is Being Reconstructed",clickbait
"Worried About Flu, China Confines U.S. Students",notclickbait
Jets Hope N.F.L. Draft Helps Rebuild Offense,notclickbait
"Orange County bus strike ends as union, board approve contract",notclickbait
"23 Times Andy Dwyer From ""Parks & Rec"" Was Wrong About Everything",clickbait
"Jessie J Sang Little Mermaid's ""Part Of Your World"" And It's Insane",clickbait
23 Pictures That Will Make All Responsible Adults Extremely Angry,clickbait
Bigoted woman: controversial Gordon Brown remarks caught on air,notclickbait
Hurricane Wilma still a Category 5 threat,notclickbait
"I'm Queer, The Mormon Church Doesn't Want Me, But I'm Staying",clickbait
BuzzFeed Writers Try To Do Handstands,clickbait
This Video Of A Grandpa Singing To His 93-Year-Old Dying Wife Will Give You All The Feels,clickbait
Wikimania jury chooses Buenos Aires for 2009 location,notclickbait
"$8,000 Phobos Media Center Comes With a Tech",notclickbait
Obama succeeds Bush as 44th president of the United States,notclickbait
Pakistani Reporter Is Killed After Rally for Taliban Truce,notclickbait
Usain Bolt sets new world record in 100m sprint,notclickbait
How Much Do You Actually Know About Ancient Technology,clickbait
22 Confessions From Erotica Writers,clickbait
"Time magazine's 2006 Person of the Year is ""you""",notclickbait
35 Costumes Guaranteed To Win Halloween,clickbait
Moore Scores 40 and Sets Marks for No. 1 UConn,notclickbait
Much of UK placed on flood alert by Met Office,notclickbait
First Libertarian Party presidential nominee John Hospers dies at 93,notclickbait
"Which ""Percy Jackson"" Demigod Are You",clickbait
"Here Is ABC Family's ""Hocus Pocus"" Schedule For Halloween",clickbait
A Top Sunni Survives an Attack in Iraq,notclickbait
S.E.C. Nominee Offers  Plan for Tighter Regulation,notclickbait
28 Tweets That Sum Up What It's Like To Grow Up In New Jersey,clickbait
These Google Calendar Tricks Will Get You Organized,clickbait
German football: Lahm's contract offer withdrawn; Schlaudraff to Hannover,notclickbait
When You're A Girl With A Dirty Mind,clickbait
"Africa makes first draft version of UNCCC treaty, with harder goals",notclickbait
Can You Really Tell The Difference Between Elena Gilbert And Katherine Pierce,clickbait
'Pregnancy pact' grabs international attention for small Massachusetts town,notclickbait
DNA components found in meteorites,notclickbait
17 Books You Definitely Read If You Grew Up In The '00s,clickbait
Google prepares to launch WiFi service,notclickbait
Here's Why You Actually Get Depressed In The Winter,clickbait
Explosion in Russia kills 10: authorities suspect Chechen involvement,notclickbait
Here's How Bollywood Dressed Up For Halloween,clickbait
Did You Peak In 2015,clickbait
"Human trafficking trial starts in Clearwater, Florida",notclickbait
What Are Your Best Tips For Keeping The Weight Off,clickbait
Iraq Leader Omits a Bit in Lauding U.S. Pullout,notclickbait
San Francisco hit-and-run suspect caught after lying,notclickbait
17 Gifts For People Whose Best Friend Is A Pomeranian,clickbait
India's Telecom Authorities Just Called Mark Zuckerberg's Bluff About Free Basics,clickbait
Montreal lab questions ethics of recent EPO doping claims against Lance Armstrong,notclickbait
How To Cook A Real Feast Of The Seven Fishes,clickbait
"North, South Korea plan united team for 2008 Olympics",notclickbait
These Straight Men Asked Gay Men Questions About Life And Sex,clickbait
18 Of The Most Cringeworthy Lyrics From 2015,clickbait
19 Painful Photos Every Short Guy Can Relate To,clickbait
21 Videos Of Eggs That Are Actually Porn,clickbait
17 Relationship Goals That Are Actually Worth Achieving,clickbait
UNESCO votes in favor of Palestine membership,notclickbait
"Fuck, Marry, Kill: Same Actor, Different Characters",clickbait
Manitoba residents receive evacuation flood alerts,notclickbait
Bomb blasts kill several in Iran,notclickbait
"The Cast Of ""Maze Runner"" Imitated Dylan O'Brien On The Red Carpet",clickbait
17 Struggles Every Clean Roommate Knows To Be True,clickbait
"At the Open, Rain Tops the Leader Board",notclickbait
"On Hot Day, a Dash of Spice at Palmer Invitational",notclickbait
"Poker's all about luck, says Swiss Supreme Court",notclickbait
Embassies across London lower their flags in honour of Nelson Mandela,notclickbait
Can You Guess The Avril Lavigne Video From One Screenshot,clickbait
Emojis: What The Fuck Do They Mean,clickbait
"UK government to spy on phone, email, browsing, of entire population",notclickbait
19 Truly Awkward Lube Confessions,clickbait
Can We Guess Your Personality Based On Your Froyo Order,clickbait
33 Weird Things You'll Find In Every British Person's Garage,clickbait
"In U.S., Steps Toward Industrial Policy in Autos",notclickbait
IMF head remains in New York prison; charged over alleged hotel sex attack,notclickbait
First Chinese tourists arrive in the UK,notclickbait
Euro 2008 Qualification: Finland defeats Kazakhstan 2-1 in Euro 2008 qualifier,notclickbait
"Laws allowing same sex marriage in Washington, D.C. go into effect",notclickbait
Phone hacking scandal prompts media review in Australia,notclickbait
Ukraine hurt by Russian gas deal,notclickbait
US TV host Conan O'Brien leads in late night ratings,notclickbait
18 Ways To Avoid The Holiday Blues This Year,clickbait
Oak Park and neighbors to study Les Golden's intergovernmental cooperation proposals,notclickbait
Missouri Edges Kansas With a Last-Second Shot,notclickbait
One dead after small plane crashes near Phoenix,notclickbait
16 Photos That Capture What It's Like Renting In Toronto,clickbait
We Know Your Zodiac Sign Based On Your Favorite Dog Breeds,clickbait
Silverjet ceases operations and enters administration,notclickbait
How Creepy Was Terrence Howard's Kiss At The Emmys,clickbait
22 Reasons Life Was Easier In 2005,clickbait
"Mia Farrow, Carole White testify in Charles Taylor's war crimes trial",notclickbait
"29 Of The Most Perfect Comebacks That Ever Happened On ""Friends""",clickbait
Boorishness Works for Berlusconi,notclickbait
Anonymous people reveal animal cruelty at Australian Inghams poultry producer factory using CCTV footage,notclickbait
Former First Lady of Taiwan Admits Laundering $2.2 Million,notclickbait
"Google doubles Gmail storage, adds text formatting",notclickbait
25 Things People With Thick Hair Can Simply Never Do,clickbait
Gwendoline Christie Showed Up To The Emmys Looking Like A Literal Goddess,clickbait
Can You Spell The Name Of This Welsh Village,clickbait
18 Headaches Everyone Who Works In An Office Knows,clickbait
Jenny Li and Thomas Dold win the 2008 Taipei 101 Run Up,notclickbait
Graner found guilty of mistreatment at Abu Ghraib,notclickbait
"White farmer who beat Mugabe in court over land seizures, dies",notclickbait
Australia proposes new anti-terror laws,notclickbait
20 Texts That Require No Response,clickbait
What Do You Want To Know About Tyler Ford,clickbait
What's Your Subconscious Obsessed With,clickbait
UN holding recruitment exams in under-represented countries,notclickbait
"The First ""Finding Dory"" Trailer Is Here And It Suggests How Dory Went Missing",clickbait
Taliban Accepts Pakistan Cease-Fire,notclickbait
Rare Middle East cyclone batters Oman,notclickbait
Two Single AF People Got Married For A Week And Things Got Interesting,clickbait
This 29-Year-Old's Graphic Surgery Photos Show The Crippling Effects of Arthritis,clickbait
Bartali-Coppi Rivalry Still Stirs Passion at the Giro,notclickbait
Evo Morales hoaxed by a Spanish Church-owned radio station,notclickbait
This Is For Everyone From Upstate New York,clickbait
12 Animals Who Can't Tell What You Are For Halloween,clickbait
What's Your Teen Name,clickbait
Here's Justin Bieber Looking Gorgeous While Skateboarding And Playing Instruments,clickbait
22 Questions For The Monsters Who Don't Like Dogs,clickbait
"Turns Out No One Knows The Words To ""Waterfalls""",clickbait
"Which ""Breaking Bad"" Character Are You Based On Your Favourite Colour",clickbait
BBC and Sky networks reject Gaza appeal,notclickbait
An iPhone Upgrade to Counter the Naysayers,notclickbait
Which Taylor Swift Track Should Be Your Personal Theme Song,clickbait
House Bill Would Set Up Database for Artificial Joints,notclickbait
10 Jeans Hacks To Keep Your Look On Point,clickbait
Restrictions Are Upheld for Executives in OxyContin Case,notclickbait
Thai Chef Breaks Down What Makes A Good Pad Thai,clickbait
Remember When Anderson Cooper Was A Reality TV Host,clickbait
19 Foods To Shut Yourself In With This Winter,clickbait
How 2015 Were You,clickbait
15 Of The Most Bengali Things That Happened In 2015,clickbait
Which Golden Globe Red Carpet Look Are You Based On Your Zodiac Sign,clickbait
Elle May Have Just Changed The Women's Magazine Game With Its February Covers,clickbait
"Sunni leader claims Iraq vote was a ""farce""",notclickbait
"Bristol Harbour Festival 2008 lauched, 200 thousand expected to attend",notclickbait
11 Startling Boob Confessions,clickbait
Prosecutors begin NY State Sen. Hiram Monserrate felony assault case,notclickbait
Jennifer Lawrence And Amy Schumer Together At The Golden Globes Was Perfect,clickbait
Tour de France: Alberto Contador wins stage 14,notclickbait
"Dam in Queensland, Australia bursts, four missing",notclickbait
7 Healthy Eating Tricks You'll Actually Want To Try,clickbait
We Know Which Fan Fiction You Should Read Based On Your Fandom,clickbait
"17 ""Princess Bride"" Gifts You Need In Your Life",clickbait
Disney Parodies The Biggest Movies Of 2015 In A Series Of Cute Film Posters,clickbait
18 Shocking Big Dick Confessions,clickbait
"John Krasinski Wants To Clear Up That He And Jenna Fischer Were Never ""Genuinely In Love""",clickbait
"Football, American Style, Is Alive in France",notclickbait
GLAAD Media Awards nominees announced,notclickbait
30 Decadent Fall Desserts For People Who Don't Like Pumpkin,clickbait
Men Review Women's Sex Toys And Get Very Uncomfortable,clickbait
Alcoa Lost $1.19 Billion as 4th-Quarter Sales Fell,notclickbait
18 Stunning Christmas Cookies Guaranteed To Impress Your Family,clickbait
"Cleaning Cairo, but Taking a Livelihood",notclickbait
First Impressions Can Create Unrealistic Expectations for Young Basketball Recruits,notclickbait
New Yankee Stadium Has Room to Breathe and Room to Spend,notclickbait
"Clear Channel Plans to Trim 1,850 Jobs",notclickbait
Exports Plunge in China,notclickbait
Signs of Hope Emerge in the West Bank,notclickbait
"20 Things You've Always Wanted To Know About The 12th Doctor, As Told By Peter Capaldi",clickbait
Can You Get A Perfect Score On This Ron And Hermione Quiz,clickbait
14 Life-Changing Ways To Bake With Avocados,clickbait
Savings Plan: 5 Smart Steps,notclickbait
When You Think You Might Snap,clickbait
20 Tweets That Capture The Internet's Reaction To Salman Khan Being Acquitted,clickbait
23 Times Tumblr Cleverly Explained What Being Genderqueer Means,clickbait
New Orleans officials confiscating guns,notclickbait
Golf: Harrington wins British Open,notclickbait
Columbia Moves a Game Behind First Place in the Ivy,notclickbait
"Madoffs Shared Much, but How Much?",notclickbait
France considers chemically castrating sex offenders,notclickbait
Ancient prayer book found in Irish bog,notclickbait
Are You More DJ Khaled Or Miranda Sings,clickbait
Google Chief for Charity Steps Down on Revamp,notclickbait
"21 Real, Frustrating, And Neverending Struggles Of Being A Tidy Student",clickbait
Somali man attempts failed attack on controversial cartoonist,notclickbait
Types Of Co-Workers That Are The Absolute Worst,clickbait
This Spoof Kids Book About Hipsters Is Hilarious,clickbait
2015 Was The Year Shibas Proved They Were More Than A Meme,clickbait
Amy Poehler's Biggest Fear Is Making J-Lo Mad,clickbait
Are You More Tyler Joseph Or Josh Dun From Twenty One Pilots,clickbait
Goldman Settles Subprime Complaint in Massachusetts,notclickbait
This Dude Quit His Job To Train Full-Time To Break The World Record For Most Selfies In An Hour,clickbait
Judge Tosses Key Evidence Against Bonds,notclickbait
Abuse Photos Part of Agreement on Military Spending,notclickbait
The 19 Best Nonfiction Books Of 2015,clickbait
Which Fictional Queer Lady Are You Based On Your Zodiac Sign,clickbait
Kathy Griffin And Kristin Chenoweth Talk About Their Worst Heckler Stories,clickbait
Lebanon: UN resolution won't end conflict,notclickbait
27 Portraits From Wes Anderson Movies That Are Beautifully Striking,clickbait
We Know Whether You're An Extrovert Or Introvert Based On Your Instagram,clickbait
North Korea seeks diplomatic relations with the US,notclickbait
The Word Of The Day Is Thanks To Queen Amy Poehler,clickbait
Obama lessens US ban on offshore drilling,notclickbait
Bulusan Volcano releases some ash,notclickbait
"Murdoch drops BSkyB bid amid public, political pressure",notclickbait
18 Rotties Who Are Actually Just Big Teddy Bears,clickbait
No people or animals hurt in rural Australian fire,notclickbait
2007 FIFA U-17 World Cup: Germany tops Group F,notclickbait
15 Purrfect Gifts To Honor The Crazy Cat Gentlemen,clickbait
Which Minor Minor Character From 30 Rock Are You,clickbait
A Defeat That Fits the Knicks to a T,notclickbait
Opposition claims Australian Treasurer misled parliament,notclickbait
California judge disqualified from predatory lending case,notclickbait
Lakewood Police & SWAT team end standoff with tear gas,notclickbait
"14 Things You Never Noticed During The Opening Number From ""Beauty And The Beast""",clickbait
Jennifer Lawrence Is More Excited About The New Kardashian Baby Than You Are,clickbait
We Know What Funny Dog GIF You Need To See Based On Your Zodiac,clickbait
This Is What Happens When You're A Black Girl Who Can't Dance,clickbait
Met Victory With a Switch: The Hitters Bail Out Santana,notclickbait
Clinton Says U.S. Is Ready to Lead on Climate,notclickbait
The Hardest Emoji Quiz You'll Ever Take,clickbait
Exeem Annonunced To Be Successor Of Suprnova,notclickbait
Windows 7 gets 'early release' in China; software pirates beat Microsoft to the punch,notclickbait
This British Rapper Is Trying To Find Out Why His Father Killed Himself,clickbait
Another One Of Your Favorite Instagram Stars Is Quitting Social Media,clickbait
Ryan Curry Was Definitely The Cutest Baby Born In 2015,clickbait
Which Christmas Cookie Matches Your Personality,clickbait
Russia raises minimum vodka prices,notclickbait
"Closing the Roof on a New Era, for Better and Worse",notclickbait
We Need To Talk About Selena Gomez At The Victoria's Secret Fashion Show,clickbait
Lenders Pledge $31 Billion for Eastern and  Central Europe,notclickbait
Can You Get Laid Tonight,clickbait
11 Charts And Graphs Every James Bond Fan Will Get,clickbait
"9 Photos Of Successful Career Women, According To The Media",clickbait
Mariah Carey's Insane Engagement Ring Belongs In A History Textbook,clickbait
Washington Churches Eye the Obamas,notclickbait
"As Protesters Pause in Thailand, Their Grievances Against Elite Simmer",notclickbait
How To Make Sheet Pan Salmon With Crispy Kale,clickbait
Wikimania 2007 Site Events warming up for main conference,notclickbait
Egyptian president will not seek re-election in September after protests,notclickbait
25 More Tweets About Animals That Will Make You Laugh Every Time,clickbait
"Diwali, As Explained By My Brown Dad",clickbait
18 Things Japan Has That The Rest Of The World Desperately Needs,clickbait
Which Pie Matches Your Zodiac Sign,clickbait
Here's What You Need To Know About This Breathtaking Waterfall Castle,clickbait
"Swimmer Michael Phelps of the U.S. wins first gold medal of 2008 Summer Olympics, breaks world record",notclickbait
Man arrested after crashing motorized bar stool while drunk,notclickbait
I Returned To My Childhood Mall And Found A Nightmare,clickbait
Nigeria's cabinet dissolved by acting president,notclickbait
23 Insanely Cozy Robes To Spend Your Weekends In,clickbait
"6.2 magnitude earthquake strikes Afghanistan, Pakistan",notclickbait
"Do You Still Know The Original ""Sister, Sister"" Theme Song",clickbait
"This ""Be Like Bill"" Meme Passive Aggressively Calls Out People's Social Media Habits",clickbait
Duke Outlasts Binghamton,notclickbait
Turkish writer Orhan Pamuk receives Nobel Prize,notclickbait
California company recalls fresh spinach over salmonella contamination,notclickbait
Tennessee Lieutenant Governor suggests that Islam is a 'cult',notclickbait
10 Trends That Didn't Catch On In 2015,clickbait
"8 dead following road collision in New Brunswick, Canada",notclickbait
"Which ""The Emperor's New Groove"" Character Are You",clickbait
"Is the Beautiful Game's Ethic Money, Glory or Work?",notclickbait
Pacific Rim braces for tsunami following major Chilean earthquake,notclickbait
"Afghans, From Hospital Beds, Dispute U.S. Account of Raid",notclickbait
American-born terrorist gets 24 years,notclickbait
"EU bans all Indonesian airlines as well as several from Russia, Ukraine and Angola",notclickbait
Which 2006 Hit Single Are You Based On Your Star Sign,clickbait
"Go Home Everyone, Sir Patrick Stewart Won 2015",clickbait
Richard Gasquet Confirms Failed Drug Test but Disputes It,notclickbait
"Here's What ""Harry Potter"" Characters' Eyes Are Actually Supposed To Look Like",clickbait
Dion leads Ignatieff heading into final ballot of Canadian Liberal vote,notclickbait
"2,000 face redundancy at English steelworks",notclickbait
USC defeats Penn State in 95th Rose Bowl Game,notclickbait
Dating Struggles For Extroverted Ladies,clickbait
McNamee Says He Injected Clemens at Yankee Stadium,notclickbait
US combat forces pull out of Iraq,notclickbait
Turkey mourns flotilla dead,notclickbait
Coordinated series of bombs kills at least 80 in India,notclickbait
What Kind Of Person Are You Really,clickbait
This Is What Porn Sets Look Like When People Aren't Having Sex In Them,clickbait
Steel Industry: Tata buys Corus,notclickbait
8 WTF Moments Of The 2016 Presidential Race,clickbait
How Much Do You Really Love Your Dog,clickbait
"As Economy Slows, Americans Are Moving Less",notclickbait
"Man dies in North Uist, Outer Hebrides after being hit by car",notclickbait
Pinterest Is Actually A Porn Director's Best Friend,clickbait
Are You More Of A Broadway Stage Musical Or Movie Musical,clickbait
H.P. Lowers Bar for Printing Glossy Color Magazines,notclickbait
Report from Royal International Air Tattoo 2009,notclickbait
21 Hilarious Tweets That Prove Tyra Is The Most Relatable Supermodel Ever,clickbait
18 Pictures That Are Way Too Real For People Who Shed A Lot,clickbait
How Much Of A Night Person Are You,clickbait
The Recession May Be a Boon to Book Sales,notclickbait
Denver win 2009 USAFL National Championship,notclickbait
Fiat Gives Detroit a Lesson on Small Cars,notclickbait
Libyan foreign minister defects to the UK,notclickbait
13 Cocktails That'll Knock Santa's Boots Off,clickbait
San Francisco anti-G8 rally turns violent,notclickbait
13 Divine Ways To Cook With Pomegranates This Holiday Season,clickbait
15 Things You Shouldn't Say To Bostonians,clickbait
Sarkozy Backs Drive to Eliminate the Burqa,notclickbait
Afghanistan suicide bomb leaves seven Americans dead,notclickbait
Mongolia's ex-communists ahead going into Sunday's election,notclickbait
"Which Moment From ""The Simpsons"" Always Makes You Ugly Cry",clickbait
Obama Seeks Vastly Expanded Afghan Force to Help Stabilize the Nation,notclickbait
This Doritos Ranch Queso Is The Drunk Snack You Deserve,clickbait
'Crown Fire' forces residents in Southern California to evacuate homes,notclickbait
"Series of earthquakes hit Korea, Indonesia, Turkey and Norway",notclickbait
A Disney Cover Band Got People To Kiss In New York City By Singing,clickbait
20 Miranda Sings Tweets To Brighten Your Monday,clickbait
"This Sassy Line By Nadiya In This Week's ""Bake Off"" Is Splendid",clickbait
Tell Us About Your Self(ie): Sabrina Carpenter,clickbait
34 Of Your Favourite Bollywood Celebrities' First Tweets,clickbait
14 Celebrity Names You ALWAYS Have To Google,clickbait
"Over 100 Shiite rebels killed in Yemen, government says",notclickbait
15 Hilariously Awesome Stoner Halloween Costume Ideas,clickbait
"35 Questions We Want The ""Gilmore Girls"" Revival To Answer",clickbait
21 Wedding Photos You'll Want To Pin Immediately,clickbait
"Ryanair sack, sue pilot over participation in safety documentary",notclickbait
"Are Justin Trudeau And ""American Horror Story"" Star Finn Wittrock The  Same Person",clickbait
"Estonia Convicts Hermann Simm, Former Security Official, of Treason",notclickbait
Nepal's royal palace now a public museum,notclickbait
"After Three Straight Titles, Jimmie Johnson Is Still Not Favored",notclickbait
Pirates capture Saudi oil tanker,notclickbait
Japanese tourist travels through 37 countries on just $2,notclickbait
Republicans Firing Blanks at Obama,notclickbait
Fed Calls Gain in Household Wealth a Mirage,notclickbait
Obama gives check to Clinton campaign,notclickbait
My Roommate Built A Cat Castle Fit For Royalty,clickbait
Ex-Chief of R.B.S. Agrees to Pension Cut,notclickbait
When You Turn Into A Different Person While Driving,clickbait
This Guy Proposed To His Girlfriend While On A Roller Coaster And Caught The Whole Thing On Camera,clickbait
What Does Your Taste In Candy Say About Your Taste In Men,clickbait
An Industry That Sells Takes a Look in the Mirror,notclickbait
19 Struggles Of Taking Your Kid To The Bathroom In Public,clickbait
"Thai PM barred from politics, three parties dissolved",notclickbait
Malin Akerman Plays The World's Hardest Game Of  Would You Rather,clickbait
See 100 Years Of Japanese Beauty In Just Over One Minute,clickbait
Trustee in Madoff Case Processing 100 Cases a Week,notclickbait
India and China to discuss energy: cooperation or competition?,notclickbait
Suicide bomber in southern Russia kills at least five policemen,notclickbait
Never Forget Hilary Duff Once Sucked A Dude's Thumb In A Music Video,clickbait
21 Things Only Brutally Honest Women Will Understand,clickbait
Literally Just 22 Really Funny Tumblr Posts,clickbait
Are You More Like Ina Garten Or Giada De Laurentiis,clickbait
Read This Inspiring Post By Robin Williams' Daughter On Depression,clickbait
Which Hogwarts House Do You Belong In Based On The First Letter Of Your Name,clickbait
Literally Just A Bunch Of Inspiring GIFs Of The Rock,clickbait
Can You Make It Through This Simple Yes Or No Quiz About Movie Quotes,clickbait
"World's cheapest car launched in India, will go on sale in April",notclickbait
Two N.H.L. Youngsters Are Giving Islanders a Reason to Hope,notclickbait
"Do You Know The Lyrics To ""How Deep Is Your Love"" By Calvin Harris And Disciples",clickbait
Ex-Sheriff Guilty of Rape,notclickbait
Singer Britney Spears gives birth to a healthy boy,notclickbait
This Band Surprised Dancers Auditioning For Their Music Video In The Best Way,clickbait
"Stricker Leaves Opening, and Clark Slips Into Lead at Colonial",notclickbait
"This Artist Painted Lin-Manuel Miranda's ""Hamilton"" On A Ten-Dollar Bill",clickbait
Study of soft cheese wins oddest book title award,notclickbait
YouTube access returns to Thailand,notclickbait
Tell Us About Yourself(ie): David Anders,clickbait
Teräsbetoni frontman J. Ahola on representing Finland at Eurovision 2008 & more,notclickbait
"How Well Do You Remember The First Episode Of ""Friday Night Lights""",clickbait
Papua New Guinea Culture and Tourism minister charged with attempted murder,notclickbait
21 Times Neville Longbottom Out-Longbottomed Himself In 2015,clickbait
Detroit Faces Its Critics With Anger and Tears,notclickbait
